VARIABLES = S,Fx,Fy,Mz
 ZONE, T="  0.1000E+01"
      0.500000D+00      0.237444D-15      0.100000D-01     -0.950000D-01
      0.150000D+01      0.981101D-16      0.100000D-01     -0.850000D-01
      0.250000D+01      0.382459D-15      0.100000D-01     -0.750000D-01
      0.350000D+01      0.265223D-16      0.100000D-01     -0.650000D-01
      0.450000D+01      0.418902D-15      0.100000D-01     -0.550000D-01
      0.550000D+01      0.280341D-15      0.100000D-01     -0.450000D-01
      0.650000D+01      0.901531D-16      0.100000D-01     -0.350000D-01
      0.750000D+01      0.885996D-17      0.100000D-01     -0.250000D-01
      0.850000D+01     -0.293175D-16      0.100000D-01     -0.150000D-01
      0.950000D+01     -0.346096D-16      0.100000D-01     -0.500000D-02
